avaliacao,nota,sentimento
"Não recomendo, o atendimento é frustrante.",2,negativo
"Comum, sem destaque.",4,positivo
"Veio com defeito, é ok.",3,neutro
"A compra é péssimo, abaixo do esperado.",1,negativo
"Chegou quebrado, o atendimento é ruim.",5,positivo
"A embalagem é ótimo, superou as expectativas.",4,positivo
"Atendimento atencioso, mediano.",3,neutro
"Valeu o preço, apesar de um arranhão na caixa, o pedido é muito bom.",5,positivo
"Abaixo do esperado, a compra é horrível.",2,negativo
"A embalagem é péssimo, poderia ser melhor.",1,negativo
"A embalagem é frustrante, veio com defeito.",2,negativo
"Superou as expectativas, a entrega é ótimo.",4,positivo
"Voltarei a comprar, o atendimento é maravilhoso.",4,positivo
"A entrega é decepcionante, não recomendo.",1,negativo
"O atendimento é péssimo, poderia ser melhor.",1,negativo
"Valeu o preço, a embalagem é bacana.",5,positivo
"Só achei meio caro, atendimento atencioso, a entrega é perfeito.",5,positivo
"Abaixo do esperado, o pedido é péssimo.",2,negativo
"A embalagem é incrível, recomendo.",5,positivo
"Atendimento atencioso, o atendimento é ótimo.",5,positivo
"Valeu o preço, a entrega é muito bom.",5,positivo
"O produto é ruim, chegou quebrado.",1,negativo
"Entrega rápida, comum, sem destaque.",5,positivo
Atende ao básico.,3,neutro
"A compra é muito bom, recomendo.",2,negativo
"Apesar de um arranhão na caixa, a compra é ótimo, boa qualidade.",4,positivo
"A entrega é excelente, chegou antes do prazo.",5,positivo
"Cumpre o que promete, chegou antes do prazo.",1,negativo
"Superou as expectativas, a entrega é muito bom.",4,positivo
"É ok, razoável pelo preço.",3,neutro
"Atendimento atencioso, a entrega é perfeito.",5,positivo
"O produto é excelente, superou as expectativas.",5,positivo
"Não recomendo, a compra é ruim.",1,negativo
"Não recomendo, a compra é ruim.",1,negativo
"Cumpre o que promete, esperava mais mas serve.",2,negativo
"Atende ao básico, chegou quebrado.",5,positivo
"O pedido é excelente, superou as expectativas.",4,positivo
"Atendimento atencioso, atende ao básico.",3,neutro
"Chegou antes do prazo, a embalagem é incrível.",3,neutro
"Chegou antes do prazo, o pedido é excelente.",4,positivo
"A embalagem é excelente, recomendo.",5,positivo
"A embalagem é impecável, entrega rápida.",4,positivo
"A embalagem é ruim, abaixo do esperado, mas o atendimento tentou ajudar.",2,negativo
Atende ao básico.,3,neutro
"Recomendo, só achei meio caro, a entrega é excelente.",4,positivo
Mediano.,3,neutro
"Recomendo, o produto é incrível.",5,positivo
"Porém chegou rápido, o pedido é péssimo, veio com defeito.",1,negativo
"Mas a entrega demorou um pouco, entrega rápida, a entrega é impecável.",5,positivo
"Razoável pelo preço, dentro do esperado.",3,neutro
"Cumpre o que promete, mediano.",3,neutro
"O atendimento é horrível, ainda assim a embalagem era bonita, não recomendo.",2,negativo
"A compra é maravilhoso, recomendo.",4,positivo
"A embalagem é péssimo, chegou quebrado.",2,negativo
"É ok, tive problema na troca, razoável pelo preço.",3,neutro
"O atendimento é bacana, superou as expectativas.",4,positivo
"Superou as expectativas, a entrega é perfeito.",5,positivo
"Boa qualidade, a embalagem é maravilhoso.",5,positivo
"Voltarei a comprar, o produto é excelente.",5,positivo
"Poderia ser melhor, o pedido é ruim.",2,negativo
"Tive problema na troca, o pedido é ruim.",1,negativo
"Demorou para chegar, comum, sem destaque.",2,negativo
"A embalagem é fraco, poderia ser melhor.",2,negativo
"Ainda assim a embalagem era bonita, abaixo do esperado, o atendimento é ruim.",2,negativo
"Esperava mais mas serve, superou as expectativas, razoável pelo preço.",3,neutro
"O produto é excelente, atendimento atencioso.",4,positivo
"O pedido é perfeito, atendimento atencioso.",5,positivo
Atende ao básico.,5,positivo
"Valeu o preço, o produto é incrível.",4,positivo
"O pedido é muito bom, boa qualidade.",5,positivo
"Comum, sem destaque, comum, sem destaque.",3,neutro
"A embalagem é maravilhoso, chegou antes do prazo.",4,positivo
"Não recomendo, o atendimento é péssimo.",5,positivo
"O produto é ótimo, valeu o preço.",4,positivo
"O produto é péssimo, tive problema na troca.",2,negativo
"O pedido é maravilhoso, atendimento atencioso.",4,positivo
"Recomendo, o produto é maravilhoso.",5,positivo
"O produto é péssimo, chegou quebrado.",1,negativo
"A embalagem é ótimo, superou as expectativas.",5,positivo
Atende ao básico.,3,neutro
"O produto é perfeito, boa qualidade.",4,positivo
"O pedido é impecável, superou as expectativas.",5,positivo
"Boa qualidade, o produto é incrível.",5,positivo
"A entrega é fraco, poderia ser melhor.",4,positivo
"Atende ao básico, atende ao básico.",3,neutro
"Abaixo do esperado, a compra é péssimo, ainda assim a embalagem era bonita.",1,negativo
"Entrega rápida, o produto é perfeito.",4,positivo
"Apesar de um arranhão na caixa, o atendimento é bacana, atendimento atencioso.",5,positivo
"O pedido é ruim, mas o atendimento tentou ajudar, tive problema na troca.",1,negativo
"Mas o atendimento tentou ajudar, poderia ser melhor, a embalagem é ruim.",2,negativo
Dentro do esperado.,3,neutro
"A entrega é bacana, recomendo.",4,positivo
"Cumpre o que promete, poderia ser melhor, comum, sem destaque.",3,neutro
Razoável pelo preço.,3,neutro
"O atendimento é impecável, mas a entrega demorou um pouco, recomendo.",5,positivo
"O pedido é ruim, veio com defeito.",1,negativo
"Demorou para chegar, o atendimento é frustrante.",4,positivo
"O atendimento é fraco, poderia ser melhor.",2,negativo
"A compra é perfeito, mas a entrega demorou um pouco, chegou antes do prazo.",5,positivo
"O produto é muito bom, recomendo.",5,positivo
"Chegou antes do prazo, a compra é muito bom.",4,positivo
"A embalagem é ótimo, atendimento atencioso.",5,positivo
"Porém chegou rápido, o atendimento é fraco, chegou quebrado.",2,negativo
"Demorou para chegar, a compra é decepcionante.",1,negativo
"Superou as expectativas, apesar de um arranhão na caixa, o pedido é excelente.",4,positivo
"A embalagem é maravilhoso, entrega rápida.",5,positivo
Razoável pelo preço.,3,neutro
"Demorou para chegar, a embalagem é ruim.",2,negativo
"O produto é impecável, boa qualidade.",4,positivo
"Comum, sem destaque, mediano.",3,neutro
"A compra é bacana, chegou antes do prazo.",5,positivo
"A compra é incrível, superou as expectativas.",5,positivo
"Superou as expectativas, o produto é impecável.",5,positivo
"Não recomendo, o produto é fraco.",2,negativo
"A entrega é maravilhoso, voltarei a comprar.",4,positivo
"Veio com defeito, a entrega é fraco.",1,negativo
"É ok, mediano.",4,positivo
"Esperava mais mas serve, boa qualidade, é ok.",3,neutro
"Voltarei a comprar, o atendimento é impecável.",4,positivo
"Boa qualidade, a entrega é incrível.",4,positivo
"Apesar de um arranhão na caixa, a compra é muito bom, superou as expectativas.",5,positivo
"Boa qualidade, o atendimento é incrível.",4,positivo
"O atendimento é decepcionante, poderia ser melhor.",2,negativo
É ok.,3,neutro
"Esperava mais mas serve, chegou antes do prazo, cumpre o que promete.",3,neutro
"Chegou quebrado, o pedido é péssimo.",2,negativo
"Entrega rápida, a embalagem é excelente.",5,positivo
É ok.,3,neutro
"O pedido é frustrante, mas o atendimento tentou ajudar, não recomendo.",2,negativo
"Valeu o preço, a embalagem é muito bom.",5,positivo
"Comum, sem destaque, esperava mais mas serve, não recomendo.",3,neutro
"A entrega é ótimo, entrega rápida.",5,positivo
"A entrega é frustrante, chegou quebrado.",2,negativo
"A entrega é perfeito, recomendo.",5,positivo
Dentro do esperado.,3,neutro
Atende ao básico.,3,neutro
"A embalagem é maravilhoso, boa qualidade.",5,positivo
Razoável pelo preço.,3,neutro
"O produto é ruim, poderia ser melhor, porém chegou rápido.",1,negativo
"O produto é maravilhoso, valeu o preço.",4,positivo
"O pedido é decepcionante, não recomendo.",5,positivo
"Atendimento atencioso, só achei meio caro, a compra é impecável.",5,positivo
"Voltarei a comprar, a embalagem é perfeito.",4,positivo
Atende ao básico.,3,neutro
"Atendimento atencioso, apesar de um arranhão na caixa, a embalagem é muito bom.",4,positivo
"A entrega é perfeito, atendimento atencioso.",4,positivo
"Atendimento atencioso, a embalagem é ótimo.",5,positivo
"Superou as expectativas, a embalagem é muito bom.",5,positivo
Dentro do esperado.,3,neutro
"O produto é incrível, entrega rápida.",5,positivo
"A compra é ótimo, boa qualidade.",5,positivo
"Veio com defeito, o pedido é ruim.",1,negativo
"A embalagem é frustrante, tive problema na troca.",3,neutro
Razoável pelo preço.,3,neutro
"O produto é maravilhoso, recomendo.",5,positivo
"O pedido é péssimo, não recomendo.",1,negativo
Esperava mais mas serve.,3,neutro
"O produto é incrível, mas a entrega demorou um pouco, valeu o preço.",5,positivo
"O produto é incrível, recomendo.",4,positivo
"A compra é incrível, voltarei a comprar.",4,positivo
"Chegou quebrado, o produto é decepcionante.",2,negativo
"Demorou para chegar, o atendimento é fraco.",2,negativo
"Valeu o preço, o produto é ótimo.",5,positivo
"Valeu o preço, a compra é maravilhoso.",4,positivo
"O produto é frustrante, abaixo do esperado.",1,negativo
"O produto é perfeito, valeu o preço.",4,positivo
"Mediano, esperava mais mas serve.",5,positivo
"Valeu o preço, o produto é impecável.",5,positivo
"Razoável pelo preço, atende ao básico.",3,neutro
"Chegou quebrado, esperava mais mas serve, atende ao básico.",3,neutro
"O pedido é excelente, valeu o preço.",4,positivo
"Dentro do esperado, atende ao básico.",3,neutro
"O produto é horrível, abaixo do esperado.",2,negativo
Dentro do esperado.,4,positivo
"Demorou para chegar, a entrega é frustrante.",1,negativo
"O produto é ótimo, valeu o preço.",4,positivo
Atende ao básico.,3,neutro
"O atendimento é horrível, demorou para chegar.",3,neutro
"Recomendo, a entrega é impecável.",5,positivo
"O produto é muito bom, recomendo.",4,positivo
"O produto é horrível, chegou quebrado.",2,negativo
"Apesar de um arranhão na caixa, entrega rápida, o pedido é muito bom.",5,positivo
"A compra é ótimo, recomendo.",5,positivo
"O produto é fraco, veio com defeito.",1,negativo
"A embalagem é incrível, boa qualidade.",5,positivo
"Dentro do esperado, entrega rápida.",3,neutro
"Tive problema na troca, a embalagem é frustrante.",1,negativo
"A embalagem é frustrante, veio com defeito.",1,negativo
Dentro do esperado.,3,neutro
"Voltarei a comprar, só achei meio caro, a entrega é ótimo.",4,positivo
"A entrega é ruim, poderia ser melhor.",2,negativo
"Chegou antes do prazo, a embalagem é bacana.",4,positivo
Dentro do esperado.,3,neutro
"Voltarei a comprar, esperava mais mas serve.",5,positivo
"Só achei meio caro, o pedido é ótimo, recomendo.",4,positivo
"A embalagem é incrível, atendimento atencioso.",5,positivo
"É ok, mediano, voltarei a comprar.",3,neutro
"Recomendo, a embalagem é maravilhoso.",5,positivo
"A compra é decepcionante, chegou quebrado.",2,negativo
É ok.,1,negativo
"O pedido é perfeito, voltarei a comprar.",4,positivo
"O atendimento é excelente, entrega rápida.",5,positivo
Razoável pelo preço.,3,neutro
"Demorou para chegar, o pedido é péssimo.",5,positivo
"Poderia ser melhor, a compra é ruim.",3,neutro
"A entrega é ruim, abaixo do esperado.",1,negativo
"Mediano, esperava mais mas serve.",3,neutro
"A embalagem é ruim, demorou para chegar.",2,negativo
"Atendimento atencioso, o atendimento é perfeito.",5,positivo
"O atendimento é bacana, chegou antes do prazo.",4,positivo
"Mas o atendimento tentou ajudar, o produto é horrível, chegou quebrado.",1,negativo
"Atende ao básico, dentro do esperado.",5,positivo
"Só achei meio caro, superou as expectativas, o pedido é incrível.",5,positivo
Atende ao básico.,5,positivo
"Veio com defeito, o produto é péssimo.",1,negativo
"Demorou para chegar, a compra é horrível.",2,negativo
"O produto é perfeito, voltarei a comprar.",5,positivo
"Dentro do esperado, mediano.",3,neutro
"Comum, sem destaque, esperava mais mas serve.",5,positivo
"A entrega é horrível, não recomendo.",1,negativo
"Atendimento atencioso, apesar de um arranhão na caixa, o pedido é maravilhoso.",4,positivo
"O pedido é frustrante, não recomendo.",1,negativo
"O pedido é impecável, atendimento atencioso.",5,positivo
"Voltarei a comprar, a compra é maravilhoso.",5,positivo
"Demorou para chegar, a embalagem é péssimo.",2,negativo
"Recomendo, o produto é perfeito.",5,positivo
"Demorou para chegar, o produto é fraco.",1,negativo
"Abaixo do esperado, a compra é ruim.",2,negativo
"O produto é bacana, atendimento atencioso.",5,positivo
"Atendimento atencioso, o produto é maravilhoso.",5,positivo
"A compra é horrível, abaixo do esperado.",2,negativo
"Atendimento atencioso, é ok, é ok.",2,negativo
"Apesar de um arranhão na caixa, o atendimento é muito bom, voltarei a comprar.",5,positivo
"A entrega é frustrante, não recomendo.",2,negativo
"Valeu o preço, a entrega é incrível.",5,positivo
"Apesar de um arranhão na caixa, o produto é maravilhoso, recomendo.",5,positivo
Atende ao básico.,3,neutro
"O atendimento é perfeito, voltarei a comprar.",5,positivo
"Apesar de um arranhão na caixa, entrega rápida, a compra é incrível.",5,positivo
"Abaixo do esperado, a compra é frustrante, ainda assim a embalagem era bonita.",2,negativo
Razoável pelo preço.,3,neutro
"O pedido é perfeito, entrega rápida.",5,positivo
"Esperava mais mas serve, razoável pelo preço.",2,negativo
"Não recomendo, a entrega é horrível.",2,negativo
"A embalagem é ótimo, recomendo.",3,neutro
"O atendimento é perfeito, superou as expectativas.",4,positivo
"Demorou para chegar, o atendimento é frustrante.",1,negativo
"Chegou quebrado, o atendimento é horrível, ainda assim a embalagem era bonita.",5,positivo
"Recomendo, a entrega é impecável.",5,positivo
"Recomendo, o produto é ótimo.",5,positivo
"Mas a entrega demorou um pouco, a embalagem é muito bom, superou as expectativas.",4,positivo
"Chegou antes do prazo, o atendimento é incrível.",5,positivo
Atende ao básico.,3,neutro
"Voltarei a comprar, a embalagem é impecável.",4,positivo
"É ok, cumpre o que promete, recomendo.",3,neutro
"Superou as expectativas, a compra é ótimo.",4,positivo
"O pedido é perfeito, só achei meio caro, chegou antes do prazo.",4,positivo
"O atendimento é excelente, recomendo.",4,positivo
"O pedido é ótimo, só achei meio caro, chegou antes do prazo.",5,positivo
"Entrega rápida, a embalagem é incrível.",4,positivo
"A entrega é incrível, valeu o preço.",5,positivo
"Voltarei a comprar, apesar de um arranhão na caixa, o atendimento é bacana.",4,positivo
Esperava mais mas serve.,3,neutro
"Entrega rápida, esperava mais mas serve, é ok.",3,neutro
"A entrega é perfeito, entrega rápida.",5,positivo
"Entrega rápida, o produto é impecável, apesar de um arranhão na caixa.",4,positivo
"O produto é ótimo, entrega rápida.",5,positivo
"Ainda assim a embalagem era bonita, a embalagem é frustrante, poderia ser melhor.",2,negativo
"Tive problema na troca, o pedido é horrível.",1,negativo
"Valeu o preço, a entrega é perfeito.",2,negativo
"Não recomendo, a compra é péssimo.",2,negativo
"Atende ao básico, dentro do esperado.",1,negativo
"A embalagem é ótimo, recomendo.",5,positivo
"Recomendo, a compra é maravilhoso.",4,positivo
Cumpre o que promete.,3,neutro
"Dentro do esperado, mediano.",4,positivo
"Poderia ser melhor, o produto é fraco.",1,negativo
"Atendimento atencioso, o pedido é excelente.",5,positivo
"Não recomendo, atende ao básico.",3,neutro
"A compra é ótimo, só achei meio caro, voltarei a comprar.",5,positivo
"Recomendo, o pedido é excelente.",5,positivo
"Atendimento atencioso, o pedido é muito bom.",4,positivo
"A compra é excelente, entrega rápida.",4,positivo
"Atendimento atencioso, a compra é impecável, só achei meio caro.",2,negativo
"A embalagem é decepcionante, veio com defeito.",2,negativo
"Boa qualidade, o atendimento é impecável.",5,positivo
"Chegou quebrado, a entrega é péssimo.",1,negativo
"O atendimento é bacana, atendimento atencioso.",5,positivo
"Superou as expectativas, o atendimento é impecável.",5,positivo
"Razoável pelo preço, chegou antes do prazo.",2,negativo
"O produto é fraco, poderia ser melhor.",1,negativo
"Abaixo do esperado, o atendimento é horrível.",1,negativo
"Poderia ser melhor, a entrega é horrível.",2,negativo
"Dentro do esperado, é ok.",5,positivo
"A entrega é excelente, superou as expectativas.",4,positivo
"Não recomendo, o pedido é ruim.",2,negativo
"Atendimento atencioso, a entrega é bacana, mas a entrega demorou um pouco.",5,positivo
"É ok, é ok.",3,neutro
"Comum, sem destaque.",3,neutro
"Recomendo, só achei meio caro, a entrega é perfeito.",3,neutro
"O produto é ótimo, chegou antes do prazo.",4,positivo
"O atendimento é perfeito, superou as expectativas, apesar de um arranhão na caixa.",5,positivo
"O atendimento é perfeito, entrega rápida.",4,positivo
"Comum, sem destaque.",3,neutro
"Entrega rápida, a entrega é excelente.",5,positivo
"Mas a entrega demorou um pouco, o produto é excelente, entrega rápida.",4,positivo
"O atendimento é perfeito, atendimento atencioso.",5,positivo
"A entrega é bacana, recomendo.",5,positivo
"Esperava mais mas serve, cumpre o que promete.",3,neutro
"O pedido é excelente, superou as expectativas.",4,positivo
"Mas o atendimento tentou ajudar, a embalagem é péssimo, demorou para chegar.",1,negativo
"O produto é decepcionante, mas o atendimento tentou ajudar, tive problema na troca.",4,positivo
"Demorou para chegar, o pedido é horrível.",2,negativo
"Valeu o preço, a compra é bacana.",5,positivo
"Chegou quebrado, ainda assim a embalagem era bonita, o produto é decepcionante.",1,negativo
"A embalagem é horrível, demorou para chegar.",1,negativo
Razoável pelo preço.,3,neutro
"O produto é ruim, tive problema na troca.",1,negativo
"Não recomendo, a compra é horrível.",1,negativo
"Boa qualidade, o produto é ótimo.",5,positivo
"Tive problema na troca, o atendimento é péssimo.",1,negativo
"A compra é incrível, boa qualidade.",5,positivo
"É ok, razoável pelo preço.",3,neutro
"A entrega é ruim, demorou para chegar.",2,negativo
"O pedido é péssimo, veio com defeito.",4,positivo
"Abaixo do esperado, a compra é ruim.",1,negativo
"Valeu o preço, a entrega é muito bom.",5,positivo
"Atende ao básico, é ok.",3,neutro
"Valeu o preço, o atendimento é incrível.",3,neutro
"A embalagem é péssimo, abaixo do esperado.",1,negativo
"Recomendo, a compra é muito bom.",3,neutro
"Comum, sem destaque.",3,neutro
"Boa qualidade, a embalagem é impecável.",5,positivo
"Atendimento atencioso, só achei meio caro, a embalagem é excelente.",5,positivo
"Valeu o preço, o produto é muito bom.",5,positivo
"A compra é ótimo, boa qualidade.",5,positivo
Mediano.,3,neutro
"Demorou para chegar, o atendimento é horrível.",1,negativo
"O produto é perfeito, recomendo, mas a entrega demorou um pouco.",5,positivo
"O atendimento é ótimo, atendimento atencioso.",5,positivo
"Tive problema na troca, o atendimento é frustrante.",1,negativo
"Comum, sem destaque, cumpre o que promete.",3,neutro
"O pedido é perfeito, voltarei a comprar.",4,positivo
"Atendimento atencioso, o produto é excelente, só achei meio caro.",4,positivo
"Valeu o preço, o produto é excelente.",4,positivo
"Poderia ser melhor, cumpre o que promete.",3,neutro
"O atendimento é incrível, superou as expectativas.",2,negativo
"Demorou para chegar, a entrega é fraco.",5,positivo
"A entrega é maravilhoso, recomendo.",5,positivo
"A embalagem é muito bom, recomendo.",5,positivo
"O atendimento é bacana, entrega rápida.",5,positivo
"O pedido é muito bom, chegou antes do prazo.",4,positivo
"Valeu o preço, a entrega é perfeito.",5,positivo
"Não recomendo, o pedido é decepcionante.",5,positivo
"O produto é excelente, mas a entrega demorou um pouco, atendimento atencioso.",5,positivo
Dentro do esperado.,3,neutro
Atende ao básico.,1,negativo
É ok.,4,positivo
"Abaixo do esperado, o pedido é frustrante.",2,negativo
"Cumpre o que promete, entrega rápida.",5,positivo
"Demorou para chegar, o atendimento é frustrante.",1,negativo
"Comum, sem destaque.",4,positivo
"A compra é perfeito, atendimento atencioso.",5,positivo
"O pedido é bacana, recomendo.",5,positivo
"Comum, sem destaque.",3,neutro
"Dentro do esperado, mediano.",3,neutro
"Boa qualidade, o atendimento é incrível.",4,positivo
"Não recomendo, o pedido é ruim.",1,negativo
"Abaixo do esperado, o produto é péssimo.",1,negativo
"Tive problema na troca, dentro do esperado, atende ao básico.",4,positivo
"Tive problema na troca, a embalagem é fraco.",3,neutro
"O pedido é ótimo, atendimento atencioso.",4,positivo
"A entrega é bacana, atendimento atencioso.",5,positivo
"Valeu o preço, a compra é bacana.",5,positivo
"O atendimento é incrível, boa qualidade.",5,positivo
"Entrega rápida, o pedido é excelente.",5,positivo
"A compra é incrível, superou as expectativas.",5,positivo
"A entrega é maravilhoso, atendimento atencioso.",5,positivo
"Boa qualidade, a compra é excelente.",5,positivo
"A entrega é péssimo, tive problema na troca.",2,negativo
"O pedido é impecável, entrega rápida.",5,positivo
"Valeu o preço, a entrega é impecável.",5,positivo
"Mas o atendimento tentou ajudar, a entrega é frustrante, poderia ser melhor.",1,negativo
"Superou as expectativas, a embalagem é incrível.",4,positivo
"A embalagem é muito bom, recomendo.",5,positivo
"A entrega é péssimo, chegou quebrado.",2,negativo
"A embalagem é excelente, boa qualidade.",5,positivo
"Poderia ser melhor, o atendimento é ruim.",1,negativo
"Só achei meio caro, a compra é incrível, entrega rápida.",4,positivo
"O produto é muito bom, recomendo.",4,positivo
"Não recomendo, o atendimento é fraco.",1,negativo
"Recomendo, o produto é perfeito.",5,positivo
"Boa qualidade, o atendimento é impecável.",5,positivo
"Superou as expectativas, o produto é muito bom.",4,positivo
"Comum, sem destaque, entrega rápida.",5,positivo
"Comum, sem destaque, voltarei a comprar.",2,negativo
"Atendimento atencioso, o atendimento é incrível.",4,positivo
"Mas a entrega demorou um pouco, a embalagem é bacana, entrega rápida.",4,positivo
"Razoável pelo preço, dentro do esperado.",3,neutro
"Chegou antes do prazo, a entrega é ótimo.",5,positivo
"Chegou antes do prazo, a embalagem é bacana, mas a entrega demorou um pouco.",5,positivo
"Chegou quebrado, o atendimento é horrível.",2,negativo
"Comum, sem destaque, cumpre o que promete.",5,positivo
"A compra é péssimo, veio com defeito.",2,negativo
"O pedido é decepcionante, chegou quebrado.",1,negativo
"O pedido é ótimo, atendimento atencioso, mas a entrega demorou um pouco.",5,positivo
"Comum, sem destaque, atende ao básico.",3,neutro
"O atendimento é maravilhoso, voltarei a comprar.",4,positivo
"O pedido é incrível, boa qualidade.",3,neutro
"O atendimento é ótimo, voltarei a comprar.",5,positivo
"Chegou antes do prazo, a embalagem é impecável.",4,positivo
"A embalagem é péssimo, não recomendo.",1,negativo
"O atendimento é incrível, boa qualidade.",4,positivo
"Voltarei a comprar, o produto é incrível, apesar de um arranhão na caixa.",1,negativo
"Recomendo, a entrega é incrível.",5,positivo
"Veio com defeito, o atendimento é fraco.",1,negativo
É ok.,3,neutro
"Cumpre o que promete, esperava mais mas serve, demorou para chegar.",4,positivo
"Boa qualidade, mas a entrega demorou um pouco, a entrega é impecável.",5,positivo
"Valeu o preço, a compra é incrível.",4,positivo
"Valeu o preço, o atendimento é incrível.",5,positivo
"Veio com defeito, a embalagem é decepcionante.",1,negativo
"Boa qualidade, atende ao básico, comum, sem destaque.",3,neutro
"Poderia ser melhor, a compra é péssimo.",2,negativo
"Apesar de um arranhão na caixa, voltarei a comprar, o atendimento é perfeito.",5,positivo
"Mediano, esperava mais mas serve.",3,neutro
"Poderia ser melhor, o atendimento é frustrante.",2,negativo
"Não recomendo, a entrega é horrível.",5,positivo
"Recomendo, a entrega é bacana.",4,positivo
"O atendimento é péssimo, abaixo do esperado.",1,negativo
"Atendimento atencioso, a compra é impecável.",5,positivo
"O pedido é maravilhoso, atendimento atencioso.",4,positivo
"Atende ao básico, comum, sem destaque, voltarei a comprar.",3,neutro
"Recomendo, o produto é ótimo.",4,positivo
"Só achei meio caro, superou as expectativas, o pedido é bacana.",5,positivo
"Superou as expectativas, o atendimento é impecável.",5,positivo
"Voltarei a comprar, o atendimento é maravilhoso.",5,positivo
"O atendimento é excelente, entrega rápida.",4,positivo
"O pedido é maravilhoso, superou as expectativas.",5,positivo
"O produto é perfeito, chegou antes do prazo.",5,positivo
"A entrega é ótimo, superou as expectativas.",2,negativo
"Entrega rápida, a embalagem é perfeito.",1,negativo
"Chegou quebrado, o pedido é horrível, porém chegou rápido.",1,negativo
"O pedido é incrível, atendimento atencioso.",4,positivo
"A entrega é ótimo, atendimento atencioso.",4,positivo
"Não recomendo, a entrega é decepcionante.",2,negativo
É ok.,3,neutro
"O produto é ruim, abaixo do esperado, porém chegou rápido.",1,negativo
"A compra é impecável, atendimento atencioso.",4,positivo
"Voltarei a comprar, a compra é incrível.",5,positivo
"Superou as expectativas, a entrega é muito bom.",5,positivo
"O atendimento é maravilhoso, atendimento atencioso.",5,positivo
"É ok, esperava mais mas serve.",3,neutro
"Voltarei a comprar, o atendimento é impecável.",4,positivo
"Boa qualidade, o atendimento é incrível.",4,positivo
"Atendimento atencioso, a entrega é muito bom.",4,positivo
"O atendimento é horrível, demorou para chegar.",4,positivo
"O pedido é perfeito, chegou antes do prazo.",4,positivo
Mediano.,3,neutro
"Dentro do esperado, comum, sem destaque.",4,positivo
"A embalagem é péssimo, demorou para chegar.",1,negativo
"O produto é ruim, chegou quebrado.",1,negativo
"O produto é impecável, apesar de um arranhão na caixa, superou as expectativas.",5,positivo
"Recomendo, a compra é incrível.",4,positivo
"O pedido é perfeito, valeu o preço.",5,positivo
"Voltarei a comprar, a entrega é impecável.",5,positivo
"Cumpre o que promete, demorou para chegar.",5,positivo
"Comum, sem destaque.",3,neutro
Cumpre o que promete.,3,neutro
"Comum, sem destaque, mediano, recomendo.",3,neutro
"Entrega rápida, o atendimento é muito bom.",5,positivo
"Atendimento atencioso, a embalagem é maravilhoso.",1,negativo
"Abaixo do esperado, o atendimento é péssimo.",1,negativo
"Tive problema na troca, o produto é péssimo.",1,negativo
"O produto é ótimo, valeu o preço.",4,positivo
"A entrega é impecável, voltarei a comprar.",4,positivo
"A compra é ótimo, valeu o preço.",5,positivo
"Dentro do esperado, esperava mais mas serve.",3,neutro
"Atende ao básico, valeu o preço, esperava mais mas serve.",3,neutro
"O produto é perfeito, chegou antes do prazo.",5,positivo
"Comum, sem destaque, esperava mais mas serve.",3,neutro
"Esperava mais mas serve, comum, sem destaque.",3,neutro
"O produto é perfeito, chegou antes do prazo.",5,positivo
"Chegou antes do prazo, o produto é muito bom.",4,positivo
"A embalagem é impecável, superou as expectativas.",4,positivo
Esperava mais mas serve.,3,neutro
"Entrega rápida, o produto é maravilhoso.",5,positivo
"Entrega rápida, é ok.",3,neutro
"Não recomendo, a embalagem é horrível.",2,negativo
"Não recomendo, a embalagem é péssimo.",1,negativo
"A embalagem é ótimo, chegou antes do prazo.",5,positivo
"O atendimento é decepcionante, demorou para chegar.",1,negativo
"Tive problema na troca, a compra é frustrante.",3,neutro
"Mediano, é ok.",2,negativo
"O produto é ótimo, voltarei a comprar, só achei meio caro.",5,positivo
"Atendimento atencioso, o produto é muito bom.",5,positivo
"A entrega é incrível, chegou antes do prazo.",5,positivo
"Valeu o preço, o produto é perfeito.",4,positivo
"Só achei meio caro, chegou antes do prazo, o atendimento é ótimo.",4,positivo
"A embalagem é excelente, entrega rápida.",4,positivo
"Só achei meio caro, voltarei a comprar, a entrega é muito bom.",4,positivo
Esperava mais mas serve.,3,neutro
É ok.,5,positivo
"Atendimento atencioso, o produto é perfeito.",4,positivo
"O produto é ótimo, atendimento atencioso.",5,positivo
"O produto é ruim, não recomendo.",1,negativo
"Esperava mais mas serve, dentro do esperado.",3,neutro
"O atendimento é decepcionante, não recomendo.",2,negativo
"O produto é incrível, recomendo.",5,positivo
"A compra é decepcionante, tive problema na troca.",1,negativo
"Veio com defeito, o produto é ruim.",2,negativo
"Boa qualidade, o atendimento é impecável, só achei meio caro.",5,positivo
"Não recomendo, a compra é horrível.",3,neutro
"Cumpre o que promete, é ok.",5,positivo
"O pedido é impecável, superou as expectativas.",4,positivo
"Atendimento atencioso, o atendimento é impecável.",4,positivo
"Voltarei a comprar, o atendimento é bacana.",4,positivo
"Chegou quebrado, o produto é péssimo.",1,negativo
"A compra é horrível, não recomendo.",1,negativo
"Cumpre o que promete, é ok, boa qualidade.",2,negativo
"Dentro do esperado, demorou para chegar.",3,neutro
"Atendimento atencioso, o atendimento é incrível.",4,positivo
"A embalagem é horrível, abaixo do esperado.",2,negativo
"Valeu o preço, o produto é excelente.",5,positivo
"A compra é excelente, atendimento atencioso.",4,positivo
"Poderia ser melhor, o pedido é péssimo.",1,negativo
